customer_id,name,phone,location,status
2ad88b2a-113e-47fe-92ae-c5f51d329860,Shannon Harris,001-864-413-2750x80750,East Sydneytown,InActive
31d0fe8c-1699-407e-958b-333d569d7373,Jason Moore,418.375.6567,Copelandmouth,Blacklisted
0af91e9b-296c-4363-b158-30afeedf9aa8,Daniel Garrison,001-300-762-8715x219,Janicemouth,Active
9645bdc1-da10-4b4a-9815-fc726caa06af,Megan Gonzalez,001-691-898-3237x359,Bellchester,Blacklisted
381facf2-6d18-4c2e-bd5f-e30317b0457b,Dr. Julie Murphy,9548087586,Dianamouth,InActive
aa0fec81-70d4-4773-809d-ba8edb9b8428,Anna Dixon,4333805032,Johnchester,Active
c93aa407-8edf-464f-894a-4e4b5d3d434f,Matthew Butler,(809)620-7863,Brianfort,InActive
f347f2b2-e4f0-4d5e-a71c-cb05f9e5d290,Billy Beck,001-283-302-3466x56625,Cristinaville,Active
0fa9db3c-bd61-4034-ae13-97253b3d6a47,Lisa Jacobs,871.543.6598,Holtburgh,Active
60a22a65-f349-49d7-af50-3197cfc28c62,Jeremy Davis,(724)644-6865,Burchstad,InActive
581f7c1d-410f-43d4-8049-a0ce00e3e75b,Cynthia Fernandez,+1-565-662-3790x217,East Brett,InActive
377da13e-9c7f-47e5-aa05-bf539e7e9c94,Danny Taylor,600-940-8499x01728,West Lisamouth,Active
63b1cfc7-421a-4018-b557-925c62fb0d94,Leslie Greer,(747)431-4608x106,Erikberg,Active
a4be0215-db19-4eab-8dde-fefe7342dd91,Victor Doyle,372-454-2055,Lopezfurt,InActive
0bc805cc-f281-476c-9bcd-1c597e012c9d,Eric Lee,(726)946-0438,South Moniqueview,Blacklisted
0a188401-830f-4282-8329-70ef7d750cea,Joseph Ford,001-638-209-3928,North Danielfurt,Blacklisted
24482d26-d2d5-4867-ab80-6a94bba978d0,Sherry Roberts,(590)310-6887x97988,Michaelport,InActive
637ab486-ecb8-4798-9fee-b5dd2dfa720e,Dawn King MD,790.873.3013,South Michaelland,InActive
15eb40fa-3c1e-429b-9baf-79f6706cb64b,Joseph Moody,+1-837-489-7924x234,Geraldmouth,Blacklisted
9e9060d7-c56d-4e42-aeea-6d0648366be9,Edward Garcia,339-502-2990x077,Stewartborough,Blacklisted
94dfd895-bd07-4c62-b9a4-dc9ef3509b97,Stephanie Kelly,218-539-3588,North Jennifer,Active
429cb6b5-3129-441f-b9c0-218ec8376c8b,Michael Marshall,(564)350-1121,New Thomas,InActive
774187e6-f44f-4ef7-8e5a-a3ebb90433a0,Tracy Cain,7344070598,Johnberg,Blacklisted
1e83e527-f2ba-41ab-80ef-49cfd8859ca1,Timothy Murray,731-803-6911x5629,West Conniebury,Active
69f1ef66-1d3d-4510-9bae-5d029d4e8c6a,Juan Hudson,+1-955-556-4721x870,West Samanthaport,Active
5765f04d-36e0-4b97-9a6f-c55bf52563dd,Ralph Chapman,599.624.6608,Port Stephanie,Active
242eb4ff-635d-4e05-aa3f-7492b45a36a2,Joseph Thomas,+1-903-246-6385x1208,Perezchester,InActive
fe80a051-7a76-472e-b885-26e603274add,Jordan Duncan,749-727-1902,East Rebeccaland,Blacklisted
4018cecb-344a-49dd-b275-596cf70c44f8,Nichole Hall,(498)725-5101x68226,Markside,InActive
9eacd66d-3375-4c60-8f58-b6d8fb9e56ad,Amy Brown MD,986-786-7219,Brianamouth,InActive
e3ec6be0-2321-4e81-9360-5cb437f03178,Cody Jordan,(398)210-2565x6668,Barbaraton,InActive
2d4a75b0-9ca9-4308-8b9c-4ba50cfb4d6d,Stacy Gilbert,889.718.1172,Kimberlymouth,Active
9ea2e510-0f80-4ee0-aa91-7fd350984fe3,Jennifer Zimmerman,855-930-9306,Duffybury,InActive
09bd3f94-6bf4-4d3e-a1f1-1c1bd6e70bd6,Christine Brown,+1-670-620-8233x951,Josephmouth,Active
2eb7a754-166e-4810-83ad-42f57d679521,Johnathan Lee,+1-865-798-2121x11785,Carolynborough,Blacklisted
f4be9a19-3d88-45ef-be22-2534917cffa4,Kimberly Larson,001-659-809-0069x3859,West Stevenfurt,Active
209f37cc-7f48-4704-95c0-7d989ed81c2c,Joy Carter,001-334-794-4880x4530,Lisabury,Active
3506fbc9-abd4-48a2-b6d7-a70e683a35a8,Alyssa Carpenter,001-660-260-2764x9608,Lake Ronnie,Blacklisted
77d7184a-827c-4493-854e-e06ec776a837,John Ward,001-519-701-3704,West Wesley,Blacklisted
ff6dceba-1795-4271-ac35-96219afeaaae,Stephanie Ferguson,(618)379-3179x136,West Michael,Blacklisted
d42b1a58-b153-4050-ba25-38b316f670a0,Mrs. Debra Reid,+1-750-295-9965x9362,West James,Blacklisted
dcb3e943-4e38-4578-b17f-4ebc1e1cf583,Justin Huynh,(421)359-2092,Brownstad,Active
7e0082c5-bdf2-493a-b89c-3ba4ecafb472,Mr. Gregory Walters,+1-251-802-7648x4742,Lake Rickytown,InActive
b893deb5-1762-4fa5-9df6-8a64488eb3b9,Sarah Wheeler,+1-524-273-5223x699,Elizabethville,InActive
8aca6cbd-e67b-47d8-a5af-47e881677932,Charlene Sanchez,001-337-852-8547x0767,Shirleyport,InActive
145c6bef-4ba4-4422-946b-1f131787d484,Adam David,207.882.4288x19390,East Davidtown,InActive
89dc9df5-39ed-4bc6-ad3b-11290b704df0,Carlos Wagner,802-766-2126,Burnsville,Blacklisted
494d10fa-ed0b-4b7e-9da1-ae13b306471c,Leah Weber,+1-543-994-3103x0482,New Stephanie,InActive
63d118a6-ed1f-417f-b96c-f86c11d6f9ca,Steven Dodson,+1-841-485-9357x980,South Travis,InActive
f52e782f-3d67-4cfd-9392-c289e44ec2e7,Amanda Martin,(455)603-4505,Lake Coryborough,Blacklisted
81668cb6-c452-4cca-b5d1-c13ab22a04c5,Jennifer Stone,582.951.3026x62031,New Ronaldburgh,Active
2f5141a0-5097-4f92-ba26-76282aa2c2a0,Dr. Jennifer Hernandez,(329)748-8707x1037,Port Marthabury,Blacklisted
bba3a083-2fad-4b6d-81c3-afa9f750bd75,Jennifer Lane,7846700901,North Laura,InActive
7d0ec1a1-79ca-4fff-a478-192bb127be9b,Kenneth Lowe,(259)799-1317x7016,New Courtneytown,Active
07c82694-85b2-4543-926e-5ff962e1bef2,Reginald Bright,(521)200-3933x3318,South Jilltown,Blacklisted
c9e77fae-f465-4e5a-8d78-8d44afad01d8,Gloria Fritz,814-245-9821,Kevinview,Active
51301d0b-a488-4782-b594-284b9e563029,Denise Hall,959-560-2262x9357,New Mariaside,Blacklisted
ffb7c3c7-705e-43b6-8a9a-0f743164ea94,Jesse Greer,406-933-6641x58892,East Timothyfort,InActive
a0e455f8-6e66-4585-9fcf-0945454cf03d,Chad Robertson,(786)660-2082,West Joshua,Blacklisted
9e734063-a509-4916-bdfd-8cb167ba12c4,Brandon Howard,(561)703-9081,West Alicia,Active
74cfcb70-acab-4055-a3b1-11c2177e218b,Randy Bradford,(745)810-3576x398,Charlotteland,Blacklisted
f6c03aae-a54e-4947-8d04-9ad820b63118,Angelica Chen,(893)616-0482x27901,New Jessicaland,Active
8e73cd94-5354-44c0-83ec-bffd2bd9ff94,Rachel Gould,2137781244,North Karen,InActive
18885f39-681b-4fcc-bd2c-8322167f407b,Susan Wolf,418.894.8692x985,Jonathanfort,InActive
bd773c36-70a3-45e3-8126-17a3f4af6e49,Andrew Parker,716-654-3204,South Carly,Blacklisted
b24d2933-0168-4bd7-8c31-8bed81412e22,Derek Smith,808-382-7949x2877,Leonview,InActive
8682fd1b-04ed-48c1-ba1f-fd51280c00c2,Jasmine Fischer,212.481.3828x5086,Port Jon,Active
378cfe40-f88d-4732-8891-99826a6e7d90,Danielle Stanley,551-909-8879x96168,Juanville,Blacklisted
84d834bf-78b2-48c6-8ce1-72dad62381c3,Thomas Gilmore,(531)409-4446x522,Barrettton,InActive
0d0437f0-fd19-47bc-9812-e9cfb6bb927b,Travis Davis,(662)279-9663x55727,Heatherview,InActive
25d9bfc2-1244-4a6e-8354-41dde0a7353c,Edward Cooper,672-529-3291x8870,West Morgan,Active
3918bac0-82e3-4502-abb6-fbccd775ac3f,Andrew Crane,(521)656-2711,Lanebury,Active
88ba6fb8-1485-4949-ac8e-95c7056d542a,John Gregory,+1-905-236-2763,West Bonnie,InActive
5e50afd5-a51d-49bb-a111-18a380560e4a,Sheri Gonzales,001-758-376-3186,South Brandonview,Active
5c6c99cf-ec24-48eb-9d9a-6309e06f392c,Danny Arroyo,700-608-8140x29932,North Cody,InActive
a992d9da-6887-4d14-9c2a-43cec6d8930f,Robert Watson,770-731-4263x5589,Williamfort,InActive
39bd6f99-3721-433e-b099-38cb2e770920,Kevin Vazquez,001-955-253-4383x10208,North Elizabeth,InActive
929db56e-0c0d-4b8c-9cfe-3f6721e91ca1,Brittany Jimenez,(865)678-7939x27381,West Samuel,Active
862c7f0f-b3b3-42d6-a2e7-10ec4aa9958a,Ashley Turner,807.905.9599,Alyssafurt,Blacklisted
9d486d8c-b502-42ad-be3c-fa3ff85c4567,Timothy Schaefer,452.278.7548,East Brentstad,Blacklisted
c5a894bb-f6c2-4be7-b164-bc3e150bbee5,Benjamin Carroll,315-483-2325,Huffmanstad,Blacklisted
de48ee37-a9b1-47b9-9a08-25fe352404b4,Katherine Johnson,766-718-6678x68094,New Kenneth,Active
35880961-7929-4e48-8069-6a0942411d74,Michael Miller DVM,+1-849-570-7122x200,Dennisville,InActive
3e3c07dd-3e6a-4326-b343-a0446d42ade7,Kristen Schmidt,703-645-6761,South Hollyfurt,Active
69d47002-9d61-4995-8379-db29f066f31d,Daniel Davis,473-311-2937,Perezchester,Blacklisted
b0cd2e9d-2e43-48d7-a2f9-ae3019fed0ca,Francis Ross,(556)628-5543x14426,South Kimberly,Active
e213125d-cda8-4c84-9340-684ca0fe1588,Christina Acosta,211.616.4938x6839,Port Jenniferbury,Active
84f8f17a-ca15-4a52-8be8-206d0b67ead0,Mr. Scott Carey,503.283.8839,New Justin,Blacklisted
8fff3bf3-a6c8-4bda-b29c-683b8fc28af0,Maureen Singh,944.480.4459,Lake Kurt,InActive
bd3fe9c8-89d3-4cfc-8ae1-7f23c378fd60,Kimberly Pham,(775)707-6652x7256,Stephaniechester,InActive
a2aac06b-f08f-4ba5-910c-bb006e51c0ae,Ronald Ramirez,(491)903-3621,Briannatown,Blacklisted
485c5e2b-7e45-405e-bca2-e4f5d342b9ca,James Sharp,+1-620-456-7504x123,Turnerfurt,Active
7734c37d-d8a0-45f9-9638-09d01cbc09f5,Joshua Shaw,+1-878-260-5510,Ryanfurt,InActive
78952324-3ec5-4996-bfbf-c86f96bade39,David Brown MD,919-794-9305x3770,Lake Lisaburgh,Blacklisted
1503eea6-b764-4491-b909-67666b0a2187,Justin Martinez,001-449-815-9006x87334,Elizabethside,Active
befa7aad-ef5c-4c07-86cb-0d2e42a8c155,Angela Boyd,264.279.5153,Port Jeffrey,Active
86b87a8e-0147-45f3-8f99-9411f7be8eb6,William Wood,(856)872-9864x53264,Port Kellyville,Blacklisted
e032d99d-35be-4663-a3bc-b531b48ded94,Jorge Andrade,(344)270-5064,Robertsonview,InActive
18a993d6-77f1-49ca-9986-d6b309bfa4e8,Mark Armstrong,624-223-3268,Hammondstad,InActive
51a77576-2840-4093-82d1-c0d8f884df01,Mr. Anthony Hoffman,819.989.3335x84119,Tammyton,Active
275d0afd-2c36-4120-990f-df1834648d4c,Taylor Mccullough,001-993-605-1041,Noahview,Active
e49224be-d0ac-4bed-baf4-490d331f99f6,Miguel Rodriguez,001-992-211-6514x15326,Ramseyfort,Blacklisted
0fab9a57-c6e7-4748-8883-522726d467ed,Mary Taylor,(458)396-0347,Derrickburgh,Active
5194b3fc-2586-44ca-aa2b-99c63c002183,Reginald Gray,347-662-6323x97071,North Alexafort,Active
db51ad1a-c902-4eed-8ab9-a956fd5fe63d,Lisa Clarke,(761)227-8612,Lake Crystal,InActive
75a672f6-6213-4be9-82da-50ee3364c2bf,Megan Ayers,+1-573-715-5063,Port Seanville,Active
7aeb22a3-5f04-4614-92ef-000a22191a76,Jacob Taylor,3665861530,Lake Amyborough,Blacklisted
f2c92462-3b97-4a7f-a03a-e8a9b9e5678f,Nicholas Arellano,9113544585,East Francisco,Blacklisted
c21ad43f-662a-43f7-a9c1-616c5362a4e0,Brent Petty,704-826-0368,North Ryan,Active
4fe0265f-bb4b-43da-9368-2113a494ee3e,Jason Gonzalez,+1-415-229-0397x974,Lake Erin,InActive
a3ef8eaa-f485-4157-ac4c-f2a33f035f2c,Kelly Brown,(849)863-1976x348,North Derekstad,Active
f5cbafc7-367a-4d7f-9965-be8d3764846b,Todd Hernandez,(352)494-3195x2489,Harmonville,Blacklisted
98e96816-83b5-4124-9d6d-9a8b693f93ee,Crystal Jones,602.972.0510,Garciaburgh,Blacklisted
3c68f76c-58b4-4f10-976b-e2e1e48d651e,Reginald Pham,(618)242-2980x06570,Vickieland,Active
ce716e3f-fb5c-4091-91f4-d87c93e8ff59,Hannah Jimenez,612.544.0506x9308,West Robert,Active
f9c23b4d-00bf-42b9-b4b4-555d2feed46f,Jeffrey Mills,(953)571-3060,Jennifermouth,Active
c039820a-170f-4858-83b2-e55f63f2d53b,Robert Jones,4599407252,Jordanport,InActive
79d73735-4b5f-4aa7-b449-b2693d63d7cd,Juan Brown PhD,(331)549-2039x768,Lake Sarah,InActive
9e410c8d-dd2a-485b-a613-7e3ed816940d,Cory Ochoa,254.404.1071x0867,South Stevenberg,Active
